ID	Hexagon_index	Cluster_base
Timm17a	571	11
Lmod1	492	11
Tmem58	418	11
Ipo9	417	11
Nav1	414	11
Csrp1	235	10
Phlda3	289	10
Tnni1	489	11
Lad1	653	7
Tnnt2	567	7
Pkp1	567	7
Tmem9	660	10
Cacna1s	422	10
Kif21b	495	10
5730559C18Rik	346	8
Camsap1l1	413	7
Ddx59	412	9
Kif14	227	8
Zfp281	231	10
Nr5a2	401	13
Ptprc	687	3
Atp6v1g3	686	3
Nek7	687	3
Lhx9	110	38
2310009B15Rik	110	38
Crb1	252	2
Zbtb41	204	5
Aspm	256	5
F13b	256	5
Cfhr1	256	5
BC026782	693	4
Cfh	694	4
Kcnt2	203	5
Cdc73	317	21
B3galt2	318	21
Glrx2	319	21
Trove2	319	21
Uchl5	319	21
Rgs2	378	5
Rgs13	689	4
Rgs1	601	4
Rgs18	447	6
B830045N13Rik	523	4
Pla2g4a	687	3
Ptgs2	686	3
Pdc	516	3
BC003331	515	1
Tpr	439	1
Ivns1abp	189	12
1200016B10Rik	622	24
1190005F20Rik	219	13
Rnf2	220	13
Niban	661	26
Edem3	188	12
1700025G04Rik	147	38
5730449L18Rik	246	36
Glt25d2	246	36
Rgl1	27	12
Apobec4	229	8
Arpc5	181	10
Ncf2	287	10
Smg7	348	10
Nmnat2	486	7
Lamc2	656	11
Lamc1	413	7
1700012A16Rik	289	10
Dhx9	657	11
Npl	414	11
Rgs8	344	8
Rgs16	283	8
Rnasel	660	10
5830403L16Rik	147	38
Teddm1	51	32
Glul	79	32
Cacna1e	691	4
Ier5	674	27
Mr1	674	27
Stx6	674	27
Xpr1	674	27
Acbd6	675	27
Lhx4	357	25
Qscn6	141	10
Tor1aip1	346	8
Ifrg15	229	8
Tor1aip2	180	8
Nphs2	67	12
9430070O13Rik	675	27
Soat1	41	12
Abl2	136	8
Tor3a	98	8
C530043G21Rik	180	8
Ralgps2	285	8
Angptl1	283	8
1700057K13Rik	659	11
Rasal2	103	12
BC026585	294	12
Lztr2	357	25
6430517E21Rik	601	4
Astn1	689	4
Pappa2	687	3
Rfwd2	519	4
Tnr	374	6
Tnn	199	39
Mrps14	152	39
Cacybp	152	39
Rabgap1l	152	39
Rc3h1	101	10
Serpinc1	341	8
Zbtb37	279	14
Dars2	279	14
Klhl20	340	14
Prdx6	339	14
Tnfsf4	29	34
Tnfsf18	438	1
Fasl	438	1
Pigc	437	36
Dnm3	438	1
5630401D24Rik	300	29
Vamp4	362	29
Myoc	363	29
Bat2d	300	29
Fmo4	514	1
Fmo1	514	1
Fmo2	684	1
Fmo3	686	3
Prrx1	685	3
Scyl1bp1	685	3
Kifap3	516	3
Scyl3	82	32
BC055324	87	33
2810422O20Rik	711	24
Sele	711	24
Sell	711	24
Selp	711	24
F5	711	24
Slc19a2	711	24
4930455F23Rik	711	24
Blzf1	711	24
Nme7	711	24
Atp1b1	710	24
Dpt	202	5
Xcl1	598	3
Tbx19	507	27
Sft2d2	297	25
Tiprl	48	12
Gpr161	433	37
Brp44	365	37
Sacy	14	34
Mpzl1	96	14
Rcsd1	134	8
Creg1	95	14
Cd247	131	14
Pou2f1	174	14
Dusp27	271	13
Gpa33	217	22
Mael	270	22
Tada1l	117	33
Pogk	528	31
4831428F09Rik	690	4
C030014K22Rik	381	31
Uck2	40	12
Tmco1	67	12
Aldh9a1	136	8
Mgst3	136	8
Lrrc52	67	12
Rxrg	91	34
Lmx1a	611	31
Pbx1	685	3
Rgs5	686	3
Rgs4	685	3
1700084C01Rik	683	1
Hsd17b7	683	1
Ddr2	683	1
Uap1	667	30
Uhmk1	668	30
Sh2d1b2	431	29
Sh2d1b1	431	29
1700015E13Rik	431	29
Nos1ap	362	29
Olfml2b	72	12
Atf6	70	12
Dusp12	137	8
Fcrlb	180	8
Fcrla	180	8
Fcgr2b	230	10
Fcgr3	413	7
1700009P17Rik	415	11
Sdhc	415	11
Mpz	348	10
Nr1i3	349	10
Tomm40l	349	10
Apoa2	349	10
Fcer1g	349	10
Ndufs2	348	10
Adamts4	415	11
B4galt3	489	11
Ppox	488	7
Usp21	488	7
Ufc1	488	7
Dedd	487	7
Nit1	487	7
