ID	Hexagon_index	Cluster_base
201863_at	2	2
201864_at	175	8
201865_x_at	338	8
201866_s_at	22	2
201867_s_at	150	11
201868_s_at	28	1
201869_s_at	52	1
201870_at	83	1
201872_s_at	374	11
201874_at	193	10
201875_s_at	147	4
201883_s_at	53	1
201887_at	175	8
201889_at	361	10
201891_s_at	137	2
201892_s_at	311	11
201893_x_at	180	2
201894_s_at	70	4
201897_s_at	78	1
201898_s_at	104	4
201899_s_at	185	4
201904_s_at	205	5
201906_s_at	376	11
201908_at	91	3
201910_at	209	7
201911_s_at	160	5
201912_s_at	148	10
201921_at	297	10
201923_at	193	10
201924_at	191	4
201925_s_at	360	10
201926_s_at	362	10
201927_s_at	308	11
201928_at	198	11
201929_s_at	311	11
201934_at	63	3
201940_at	373	11
201941_at	74	4
201942_s_at	251	11
201943_s_at	196	11
201944_at	189	4
201946_s_at	79	1
201947_s_at	53	1
201948_at	152	11
201949_x_at	6	1
201950_x_at	4	1
201951_at	64	2
201952_at	129	3
201955_at	241	10
201958_s_at	325	12
201959_s_at	216	3
201960_s_at	129	3
201966_at	9	2
201968_s_at	304	11
201971_s_at	184	4
201973_s_at	139	4
201976_s_at	150	11
201981_at	30	1
201983_s_at	130	3
201989_s_at	295	10
201990_s_at	357	10
201993_x_at	60	3
201997_s_at	9	2
201998_at	112	1
202003_s_at	101	4
202008_s_at	323	7
202011_at	112	1
202013_s_at	145	4
202016_at	198	11
202017_at	180	2
202022_at	370	11
202023_at	303	10
202024_at	72	4
202026_at	359	10
202030_at	309	11
202032_s_at	269	6
202043_s_at	195	10
202052_s_at	170	8
202057_at	59	3
202069_s_at	66	2
202071_at	364	10
202075_s_at	194	10
202080_s_at	60	3
202085_at	301	10
202087_s_at	299	10
202088_at	128	3
202089_s_at	127	3
202092_s_at	40	2
202101_s_at	80	1
202107_s_at	121	5
202109_at	7	5
202112_at	13	1
202113_s_at	150	11
202117_at	45	4
202121_s_at	185	4
202124_s_at	98	2
202125_s_at	179	2
202130_at	111	1
202131_s_at	76	1
202135_s_at	89	3
202136_at	130	3
202138_x_at	50	1
202144_s_at	80	1
202145_at	246	10
202146_at	104	4
202150_s_at	259	5
202154_x_at	224	8
202157_s_at	130	3
202167_s_at	114	1
202168_at	150	11
202178_at	242	10
202179_at	1	1
202181_at	94	3
202184_s_at	50	1
202185_at	88	6
202187_s_at	29	1
202190_at	75	1
202196_s_at	99	2
202197_at	21	2
202202_s_at	336	8
202206_at	368	11
202207_at	367	11
202208_s_at	368	11
202209_at	49	1
202212_at	116	11
202222_s_at	396	6
202223_at	47	4
202228_s_at	192	10
202233_s_at	79	1
202234_s_at	364	10
202235_at	299	10
202236_s_at	300	10
202242_at	64	2
202244_at	188	4
202249_s_at	161	5
202255_s_at	29	1
202259_s_at	169	3
202260_s_at	278	8
202261_at	42	2
202262_x_at	171	8
202263_at	22	2
202266_at	190	4
202268_s_at	151	11
202272_s_at	362	10
202273_at	216	3
202274_at	22	2
202276_at	50	1
202277_at	195	10
