ID	Hexagon_index
204298_s_at	363
204301_at	218
204304_s_at	245
204305_at	81
204310_s_at	98
204319_s_at	277
204320_at	332
204323_x_at	391
204325_s_at	392
204326_x_at	347
204334_at	175
204337_at	365
204338_s_at	365
204339_s_at	364
204345_at	137
204346_s_at	82
204347_at	245
204348_s_at	302
204351_at	355
204352_at	240
204358_s_at	222
204359_at	171
204361_s_at	362
204362_at	301
204364_s_at	178
204365_s_at	224
204366_s_at	13
204368_at	356
204379_s_at	231
204380_s_at	101
204381_at	126
204395_s_at	165
204396_s_at	263
204400_at	230
204403_x_at	268
204407_at	150
204411_at	395
204416_x_at	350
204418_x_at	395
204419_x_at	336
204421_s_at	108
204424_s_at	338
204426_at	185
204427_s_at	185
204432_at	19
204437_s_at	193
204438_at	236
204439_at	134
204440_at	394
204442_x_at	60
204450_x_at	345
204451_at	221
204452_s_at	329
204454_at	8
204456_s_at	128
204457_s_at	128
204463_s_at	333
204464_s_at	333
204465_s_at	342
204466_s_at	216
204467_s_at	394
204468_s_at	211
204469_at	293
204471_at	342
204472_at	39
204482_at	97
204485_s_at	244
204489_s_at	26
204490_s_at	293
204494_s_at	118
204505_s_at	21
204513_s_at	238
204516_at	113
204517_at	358
204521_at	370
204526_s_at	68
204529_s_at	226
204534_at	351
204540_at	62
204550_x_at	395
204551_s_at	343
204554_at	268
204556_s_at	271
204557_s_at	388
204561_x_at	283
204563_at	392
204565_at	187
204567_s_at	107
204570_at	95
204573_at	328
204579_at	297
204584_at	278
204588_s_at	361
204589_at	170
204590_x_at	28
204595_s_at	367
204596_s_at	368
204597_x_at	367
204600_at	122
204602_at	299
204604_at	91
204605_at	102
204607_at	349
204608_at	182
204610_s_at	81
204612_at	221
204616_at	150
204620_s_at	269
204624_at	244
204637_at	365
204640_s_at	21
204643_s_at	20
204646_at	67
204653_at	248
204654_s_at	199
204658_at	54
204662_at	269
204667_at	53
204671_s_at	67
204672_s_at	130
204675_at	241
204678_s_at	356
204679_at	356
204685_s_at	133
204686_at	195
204688_at	94
204689_at	240
204694_at	344
204697_s_at	64
204699_s_at	373
204700_x_at	49
204702_s_at	359
204703_at	216
204705_x_at	227
204706_at	269
204710_s_at	47
204712_at	178
204714_s_at	134
204717_s_at	374
204720_s_at	243
204723_at	41
204724_s_at	234
204725_s_at	309
204730_at	134
204731_at	245
204733_at	391
204737_s_at	385
204740_at	77
204743_at	335
204744_s_at	111
204745_x_at	347
204750_s_at	304
204751_x_at	366
204759_at	129
204763_s_at	395
204766_s_at	143
204773_at	340
204776_at	179
204778_x_at	63
204790_at	119
204793_at	269
204802_at	383
204803_s_at	384
204805_s_at	261
204806_x_at	31
204807_at	38
204810_s_at	321
204811_s_at	101
204814_at	9
204818_at	229
204819_at	20
204820_s_at	96
204823_at	225
204825_at	27
204832_s_at	188
204836_at	359
204842_x_at	213
204844_at	12
204846_at	66
204848_x_at	336
204850_s_at	342
204851_s_at	343
204853_at	194
204861_s_at	124
204862_s_at	47
204864_s_at	372
204865_at	371
204866_at	192
204872_at	203
204879_at	14
204890_s_at	12
204891_s_at	12
204897_at	9
204899_s_at	311
204905_s_at	199
